epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,49170.9,1.13041,0.70117,1.13659,0.89006,0.84378,0.88344,0.60238,1.04152,0.6773,1.16261,0.000990365,0.000990365,0.000990365
43,49757.4,1.10414,0.68515,1.12368,0.90751,0.82336,0.88026,0.60581,1.08017,0.71952,1.17921,0.000973861,0.000973861,0.000973861
44,50344.3,1.11316,0.67956,1.13027,0.86627,0.83136,0.86749,0.59159,1.04432,0.69822,1.15419,0.000957358,0.000957358,0.000957358
45,50929.2,1.10559,0.67715,1.12301,0.89695,0.84631,0.88194,0.60227,1.06512,0.67601,1.16045,0.000940855,0.000940855,0.000940855
46,51523.6,1.07935,0.67246,1.11751,0.89664,0.83569,0.88609,0.61387,1.02463,0.67152,1.1434,0.000924352,0.000924352,0.000924352
47,52115.9,1.08474,0.67774,1.11353,0.87352,0.84138,0.87411,0.60463,1.03198,0.68796,1.1383,0.000907848,0.000907848,0.000907848
48,52702.1,1.10054,0.67415,1.11386,0.87932,0.85089,0.88346,0.61407,1.03146,0.67682,1.13187,0.000891345,0.000891345,0.000891345
49,53295.8,1.08399,0.67343,1.11404,0.88558,0.85134,0.88473,0.60937,1.04214,0.66842,1.14293,0.000874842,0.000874842,0.000874842
50,53882.1,1.07086,0.6519,1.10239,0.90271,0.8503,0.88555,0.61557,1.04005,0.66914,1.14274,0.000858338,0.000858338,0.000858338
51,54468.9,1.07311,0.64944,1.10765,0.90288,0.85712,0.89211,0.62288,1.01356,0.64224,1.13099,0.000841835,0.000841835,0.000841835
52,55067.2,1.06267,0.6499,1.10732,0.90283,0.85949,0.89045,0.61961,1.01609,0.65349,1.13018,0.000825332,0.000825332,0.000825332
53,55664.3,1.0639,0.64957,1.10127,0.89338,0.85685,0.87996,0.60513,1.04116,0.66617,1.1409,0.000808828,0.000808828,0.000808828
54,56258.5,1.06264,0.64658,1.09886,0.88193,0.85373,0.8771,0.60323,1.04185,0.682,1.14589,0.000792325,0.000792325,0.000792325
55,56854.7,1.04842,0.63578,1.09538,0.88602,0.85322,0.88163,0.61471,1.02199,0.65778,1.13638,0.000775822,0.000775822,0.000775822
56,57434.2,1.05833,0.63564,1.09489,0.89552,0.85765,0.8837,0.61936,1.01745,0.65505,1.12932,0.000759318,0.000759318,0.000759318
57,58027.9,1.04343,0.63426,1.09211,0.89924,0.85796,0.89138,0.62436,1.00978,0.64081,1.12832,0.000742815,0.000742815,0.000742815
58,58617.6,1.03671,0.62069,1.08715,0.90536,0.85434,0.88929,0.62506,0.9965,0.62944,1.11871,0.000726312,0.000726312,0.000726312
59,59211.4,1.04201,0.63531,1.09468,0.89972,0.83827,0.88156,0.61325,1.01864,0.65654,1.12802,0.000709809,0.000709809,0.000709809
60,59805.1,1.03772,0.62207,1.09139,0.90427,0.87097,0.89674,0.62134,1.00796,0.62226,1.13262,0.000693305,0.000693305,0.000693305
61,60396.7,1.02215,0.60446,1.08034,0.89933,0.85355,0.89039,0.62237,1.01401,0.6429,1.13112,0.000676802,0.000676802,0.000676802
62,60980.5,1.01201,0.61306,1.08031,0.8973,0.86883,0.88719,0.62166,1.01185,0.64395,1.14124,0.000660299,0.000660299,0.000660299
63,61572.9,1.02155,0.61001,1.08176,0.90024,0.87274,0.89378,0.62342,1.01626,0.6255,1.14632,0.000643795,0.000643795,0.000643795
64,62170.4,1.01044,0.59441,1.07803,0.91015,0.85496,0.88768,0.62434,1.00679,0.63115,1.13378,0.000627292,0.000627292,0.000627292
65,62756.7,0.99692,0.59379,1.07603,0.88419,0.86428,0.88806,0.61721,1.01841,0.63479,1.13145,0.000610789,0.000610789,0.000610789
66,63372.8,1.01217,0.60037,1.08371,0.91052,0.85792,0.88741,0.6201,1.03,0.64706,1.13044,0.000594286,0.000594286,0.000594286
67,63975.5,1.01685,0.60218,1.08048,0.91494,0.8529,0.89083,0.62702,1.01387,0.62935,1.12647,0.000577782,0.000577782,0.000577782
68,64553.3,1.00656,0.59457,1.07819,0.91803,0.8475,0.8885,0.62469,1.02,0.63241,1.13722,0.000561279,0.000561279,0.000561279
69,65142.6,0.99506,0.58868,1.0734,0.8968,0.86819,0.89267,0.62934,0.99989,0.60071,1.12457,0.000544776,0.000544776,0.000544776
70,65738.8,0.996,0.57859,1.07061,0.9114,0.85812,0.88956,0.62521,1.01261,0.60888,1.13554,0.000528272,0.000528272,0.000528272
71,66335.9,0.99319,0.58608,1.06813,0.90725,0.86503,0.88794,0.62521,0.99969,0.61856,1.12771,0.000511769,0.000511769,0.000511769
72,66916.9,0.99665,0.57822,1.06725,0.90006,0.85098,0.8875,0.6153,1.03846,0.63633,1.14849,0.000495266,0.000495266,0.000495266
73,67498.3,0.97911,0.57348,1.05953,0.9028,0.85664,0.88453,0.62136,1.00828,0.63343,1.12416,0.000478762,0.000478762,0.000478762
74,68071.5,0.98237,0.57128,1.06183,0.90939,0.86035,0.88966,0.63282,0.98843,0.62142,1.1136,0.000462259,0.000462259,0.000462259
75,68640,0.97249,0.57209,1.0604,0.89748,0.84572,0.88534,0.62474,1.0012,0.62704,1.12231,0.000445756,0.000445756,0.000445756
76,69215.3,0.9533,0.55923,1.05266,0.90422,0.85074,0.88495,0.62806,1.00325,0.64288,1.13047,0.000429253,0.000429253,0.000429253
77,69798.4,0.95359,0.56636,1.05477,0.91832,0.85342,0.88913,0.63358,0.99436,0.62214,1.12444,0.000412749,0.000412749,0.000412749
78,70372.7,0.96448,0.57062,1.05646,0.91371,0.86736,0.89338,0.63362,0.99201,0.60935,1.1137,0.000396246,0.000396246,0.000396246
79,70954.3,0.95014,0.56023,1.04387,0.91205,0.86235,0.89052,0.63238,0.98256,0.60571,1.11587,0.000379743,0.000379743,0.000379743
80,71533,0.94684,0.54787,1.04626,0.90841,0.8537,0.88848,0.63,0.9768,0.60427,1.12261,0.000363239,0.000363239,0.000363239
81,72110.9,0.95007,0.55282,1.04002,0.91067,0.8598,0.88889,0.6343,0.97444,0.60464,1.11181,0.000346736,0.000346736,0.000346736
82,72687.4,0.9551,0.55996,1.05539,0.91483,0.84117,0.88791,0.63662,0.97033,0.61604,1.1082,0.000330233,0.000330233,0.000330233
83,73269.4,0.93351,0.54458,1.03568,0.90833,0.85506,0.89156,0.63597,0.981,0.60764,1.11043,0.000313729,0.000313729,0.000313729
84,73846.3,0.91581,0.53356,1.02911,0.90032,0.85807,0.88588,0.63821,0.96256,0.60869,1.10617,0.000297226,0.000297226,0.000297226
85,74414.8,0.91438,0.53085,1.03106,0.91356,0.86586,0.88972,0.6394,0.96953,0.5937,1.1116,0.000280723,0.000280723,0.000280723
86,74983.1,0.92397,0.53275,1.03219,0.9098,0.86318,0.89114,0.6392,0.96595,0.59782,1.10613,0.00026422,0.00026422,0.00026422
